5	6	6
5	93	1
5	302	1
5	455	1
5	775	1
5	1010	1
5	1070	1
5	1082	1
5	1195	1
5	1197	2
5	1282	1
5	1348	1
5	1397	1
5	1766	1
5	2051	1
5	2052	1
5	2099	1
5	2295	1
5	2335	1
5	2338	1
5	2355	1
5	2359	1
5	2363	1
5	2379	1
5	2396	1
5	2527	1
5	2543	1
5	2588	1
5	2589	1
5	2705	1
5	2850	1
5	2875	1
6	161	1
6	732	1
6	770	1
6	1197	1
6	1230	1
6	1613	1
6	2299	1
6	2322	1
6	2379	1
6	2393	1
6	2435	1
6	2527	1
7	2313	1
7	2392	1
7	2523	1
12	93	5
12	347	1
12	541	2
12	542	1
12	544	2
12	710	1
12	729	1
12	886	1
12	1060	1
12	1093	1
12	1144	2
12	1379	2
12	1439	1
12	1523	1
12	1570	1
12	2253	1
12	2269	1
12	2276	1
12	2295	10
12	2332	1
12	2392	1
12	2396	1
12	2436	2
12	2458	1
12	2527	3
12	2532	2
12	2658	1
12	2696	1
12	2724	2
12	2761	1
12	2771	1
19	302	1
19	387	1
19	455	1
19	456	1
19	494	1
19	790	1
19	1111	1
19	1453	2
19	1457	1
19	1460	1
19	1518	1
19	1605	2
19	1613	1
19	1990	3
19	2253	1
19	2391	1
19	2527	1
19	2532	1
19	2645	1
19	2671	1
19	2795	1
19	2879	3
20	121	1
20	192	1
20	427	1
20	770	1
20	1230	1
20	1974	2
20	2052	8
20	2494	1
20	2532	1
30	658	3
30	770	1
30	908	1
30	1250	1
30	1776	1
30	2555	1
35	217	1
35	640	1
35	687	1
35	2073	1
35	2247	18
35	2335	1
35	2336	1
35	2423	1
35	2451	1
35	2477	2
35	2495	1
35	2627	1
36	178	1
36	273	1
36	455	1
36	696	1
36	770	1
36	911	1
36	1230	1
36	1253	2
36	1379	1
36	1704	1
36	1938	1
36	1948	1
36	1974	2
36	2048	1
36	2112	1
36	2234	1
36	2269	1
36	2338	1
36	2341	1
36	2406	1
36	2468	1
36	2658	1
36	2724	1
36	2815	1
36	2879	1
50	539	1
50	639	1
50	1040	2
50	2052	1
50	2328	1
50	2468	1
50	2534	1
53	161	1
53	1566	1
53	1606	1
53	2335	1
53	2485	1
53	2525	1
53	2534	1
53	2729	1
53	2781	1
55	73	1
55	707	3
55	1143	3
55	1144	1
55	1195	1
55	1652	1
55	1687	1
55	1688	2
55	2099	1
55	2276	4
55	2295	2
55	2396	4
55	2620	1
55	2705	9
55	2761	1
66	164	2
66	305	1
66	456	1
66	541	1
66	1505	1
66	2052	1
66	2154	1
66	2294	1
66	2366	2
72	134	2
72	217	2
72	362	2
